BFSNR;NAME;DATUM;STIMMBERECHTIGTE;AUSL_SCHWEIZER;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
4167;Hornussen;2018-09-23;631.0;...;216.0;2.0;...;214.0;48.0;166.0;210.0;3.0;...;10.0
4169;Kaisten;2018-09-23;1810.0;...;564.0;6.0;...;558.0;128.0;430.0;555.0;2.0;...;18.0
4170;Laufenburg;2018-09-23;1962.0;...;735.0;12.0;...;723.0;129.0;594.0;728.0;9.0;...;19.0
4172;Münchwilen (AG);2018-09-23;562.0;...;207.0;1.0;...;206.0;32.0;174.0;208.0;3.0;...;3.0
4173;Oberhof;2018-09-23;406.0;...;154.0;...;...;154.0;53.0;101.0;141.0;1.0;...;14.0
4175;Oeschgen;2018-09-23;694.0;...;230.0;5.0;...;225.0;38.0;187.0;218.0;2.0;...;14.0
4176;Schwaderloch;2018-09-23;426.0;...;127.0;1.0;...;126.0;21.0;105.0;124.0;1.0;...;7.0
4177;Sisseln;2018-09-23;989.0;...;225.0;4.0;...;221.0;61.0;160.0;226.0;2.0;...;3.0
4179;Ueken;2018-09-23;601.0;...;191.0;2.0;...;189.0;52.0;137.0;184.0;2.0;...;9.0
4181;Wittnau;2018-09-23;954.0;...;374.0;1.0;...;373.0;105.0;268.0;369.0;7.0;...;14.0
4182;Wölflinswil;2018-09-23;754.0;...;289.0;1.0;...;288.0;81.0;207.0;282.0;1.0;...;8.0
4183;Zeihen;2018-09-23;794.0;...;293.0;1.0;...;292.0;78.0;214.0;284.0;3.0;...;13.0
4184;Mettauertal;2018-09-23;1447.0;...;459.0;4.0;...;455.0;103.0;352.0;457.0;6.0;...;10.0
4191;Ammerswil;2018-09-23;474.0;...;161.0;1.0;...;160.0;47.0;113.0;162.0;2.0;...;1.0
4192;Boniswil;2018-09-23;994.0;...;382.0;3.0;...;379.0;84.0;295.0;377.0;4.0;...;12.0
4193;Brunegg;2018-09-23;534.0;...;147.0;4.0;...;143.0;20.0;123.0;145.0;1.0;...;3.0
4194;Dintikon;2018-09-23;1324.0;...;484.0;2.0;...;482.0;84.0;398.0;482.0;2.0;...;7.0
4195;Egliswil;2018-09-23;1034.0;...;375.0;1.0;...;374.0;81.0;293.0;364.0;2.0;...;15.0
4196;Fahrwangen;2018-09-23;1329.0;...;372.0;1.0;...;371.0;68.0;303.0;366.0;6.0;...;14.0
4197;Hallwil;2018-09-23;600.0;...;169.0;1.0;...;168.0;36.0;132.0;162.0;...;...;9.0
4198;Hendschiken;2018-09-23;833.0;...;213.0;3.0;...;210.0;44.0;166.0;217.0;4.0;...;3.0
4199;Holderbank (AG);2018-09-23;736.0;...;210.0;1.0;...;209.0;46.0;163.0;207.0;...;...;7.0
4200;Hunzenschwil;2018-09-23;2346.0;...;620.0;10.0;...;610.0;126.0;484.0;612.0;4.0;...;18.0
4201;Lenzburg;2018-09-23;6368.0;...;2434.0;29.0;...;2405.0;601.0;1804.0;2388.0;30.0;...;90.0
